sentence,place
I'm making a trip to the Office building,Office building
I'm making a trip to the Observatory,Observatory
I'm making a trip to the Underwater cave,Underwater cave
I'm making a trip to the Haunted house,Haunted house
I'm making a trip to the Winery,Winery
I'm making a trip to the Microbrewery,Microbrewery
I'm making a trip to the Planet,Planet
I'm making a trip to the Moon,Moon
I'm making a trip to the Sun,Sun
I'm making a trip to the Jupiter,Jupiter
I'm making a trip to the Forest,Forest
I'm making a trip to the Cabin,Cabin
I'm making a trip to the Rainforest,Rainforest
I'm making a trip to the Jungle,Jungle
I'm making a trip to the Wetland,Wetland
I'm making a trip to the Volcano,Volcano
I'm journeying to the Park,Park
I'm journeying to the Beach,Beach
I'm journeying to the Library,Library
I'm journeying to the Museum,Museum
I'm journeying to the Restaurant,Restaurant
I'm journeying to the Cafe,Cafe
I'm journeying to the Movie theater,Movie theater
I'm journeying to the Shopping mall,Shopping mall
I'm journeying to the Gym,Gym
I'm journeying to the School,School
I'm journeying to the Office,Office
I'm journeying to the Zoo,Zoo
I'm journeying to the Concert hall,Concert hall
I'm journeying to the Art gallery,Art gallery
I'm journeying to the Stadium,Stadium
I'm journeying to the Hospital,Hospital
I'm journeying to the Farm,Farm
I'm journeying to the Farm market,Farm market
I'm journeying to the Amusement park,Amusement park
I'm journeying to the Spa,Spa
I'm journeying to the Mountain,Mountain
I'm journeying to the Lake,Lake
I'm journeying to the River,River
I'm journeying to the Forest,Forest
I'm journeying to the Jungle,Jungle
I'm journeying to the Desert,Desert
I'm journeying to the Countryside,Countryside
I'm journeying to the City,City
I'm journeying to the Suburb,Suburb
I'm journeying to the Village,Village
I'm journeying to the Town,Town
I'm journeying to the Island,Island
I'm journeying to the Skyscraper,Skyscraper
I'm journeying to the Cinema,Cinema
I'm journeying to the Bookstore,Bookstore
I'm journeying to the Factory,Factory
I'm journeying to the Workshop,Workshop
I'm journeying to the Studio,Studio
I'm journeying to the Garden,Garden
I'm journeying to the Orchard,Orchard
I'm journeying to the Vineyard,Vineyard
I'm journeying to the Cemetery,Cemetery
I'm journeying to the Castle,Castle
I'm journeying to the Historical site,Historical site
I'm journeying to the Cave,Cave
I'm journeying to the Lighthouse,Lighthouse
I'm journeying to the Waterfall,Waterfall
I'm journeying to the Cruise ship,Cruise ship
I'm journeying to the Train station,Train station
I'm journeying to the Airport,Airport
I'm journeying to the Space station,Space station
I'm journeying to the Underground,Underground
I'm journeying to the Planetarium,Planetarium
I'm journeying to the Carnival,Carnival
I'm journeying to the Circus,Circus
I'm journeying to the Wildlife sanctuary,Wildlife sanctuary
I'm journeying to the Aquarium,Aquarium
I'm journeying to the Botanical garden,Botanical garden
I'm journeying to the Coffee shop,Coffee shop
I'm journeying to the Tea house,Tea house
I'm journeying to the Ice cream parlor,Ice cream parlor
I'm journeying to the Bakery,Bakery
I'm journeying to the Farmers' market,Farmers' market
I'm journeying to the Campground,Campground
I'm journeying to the Campsite,Campsite
I'm journeying to the Ski resort,Ski resort
I'm journeying to the Beach resort,Beach resort
I'm journeying to the Safari park,Safari park
I'm journeying to the Sculpture park,Sculpture park
I'm journeying to the University,University
I'm journeying to the College,College
I'm journeying to the Kindergarten,Kindergarten
I'm journeying to the Daycare,Daycare
I'm journeying to the Factory,Factory
I'm journeying to the Lab,Lab
I'm journeying to the Radio station,Radio station
I'm journeying to the Television studio,Television studio
I'm journeying to the Office building,Office building
I'm journeying to the Observatory,Observatory
I'm journeying to the Underwater cave,Underwater cave
I'm journeying to the Haunted house,Haunted house
I'm journeying to the Winery,Winery
I'm journeying to the Microbrewery,Microbrewery
I'm journeying to the Planet,Planet
I'm journeying to the Moon,Moon
I'm journeying to the Sun,Sun
I'm journeying to the Jupiter,Jupiter
I'm journeying to the Forest,Forest
I'm journeying to the Cabin,Cabin
I'm journeying to the Rainforest,Rainforest
I'm journeying to the Jungle,Jungle
I'm journeying to the Wetland,Wetland
I'm journeying to the Volcano,Volcano
I'm traveling to the Park,Park
I'm traveling to the Beach,Beach
I'm traveling to the Library,Library
I'm traveling to the Museum,Museum
I'm traveling to the Restaurant,Restaurant
I'm traveling to the Cafe,Cafe
I'm traveling to the Movie theater,Movie theater
I'm traveling to the Shopping mall,Shopping mall
I'm traveling to the Gym,Gym
I'm traveling to the School,School
I'm traveling to the Office,Office
I'm traveling to the Zoo,Zoo
I'm traveling to the Concert hall,Concert hall
I'm traveling to the Art gallery,Art gallery
I'm traveling to the Stadium,Stadium
I'm traveling to the Hospital,Hospital
I'm traveling to the Farm,Farm
I'm traveling to the Farm market,Farm market
I'm traveling to the Amusement park,Amusement park
I'm traveling to the Spa,Spa
I'm traveling to the Mountain,Mountain
I'm traveling to the Lake,Lake
I'm traveling to the River,River
I'm traveling to the Forest,Forest
I'm traveling to the Jungle,Jungle
I'm traveling to the Desert,Desert
I'm traveling to the Countryside,Countryside
I'm traveling to the City,City
I'm traveling to the Suburb,Suburb
I'm traveling to the Village,Village
I'm traveling to the Town,Town
I'm traveling to the Island,Island
I'm traveling to the Skyscraper,Skyscraper
I'm traveling to the Cinema,Cinema
I'm traveling to the Bookstore,Bookstore
I'm traveling to the Factory,Factory
I'm traveling to the Workshop,Workshop
I'm traveling to the Studio,Studio
I'm traveling to the Garden,Garden
I'm traveling to the Orchard,Orchard
I'm traveling to the Vineyard,Vineyard
I'm traveling to the Cemetery,Cemetery
I'm traveling to the Castle,Castle
I'm traveling to the Historical site,Historical site
I'm traveling to the Cave,Cave
I'm traveling to the Lighthouse,Lighthouse
I'm traveling to the Waterfall,Waterfall
I'm traveling to the Cruise ship,Cruise ship
I'm traveling to the Train station,Train station
I'm traveling to the Airport,Airport
I'm traveling to the Space station,Space station
I'm traveling to the Underground,Underground
I'm traveling to the Planetarium,Planetarium
I'm traveling to the Carnival,Carnival
I'm traveling to the Circus,Circus
I'm traveling to the Wildlife sanctuary,Wildlife sanctuary
I'm traveling to the Aquarium,Aquarium
I'm traveling to the Botanical garden,Botanical garden
I'm traveling to the Coffee shop,Coffee shop
I'm traveling to the Tea house,Tea house
I'm traveling to the Ice cream parlor,Ice cream parlor
I'm traveling to the Bakery,Bakery
I'm traveling to the Farmers' market,Farmers' market
I'm traveling to the Campground,Campground
I'm traveling to the Campsite,Campsite
I'm traveling to the Ski resort,Ski resort
I'm traveling to the Beach resort,Beach resort
I'm traveling to the Safari park,Safari park
I'm traveling to the Sculpture park,Sculpture park
I'm traveling to the University,University
I'm traveling to the College,College
I'm traveling to the Kindergarten,Kindergarten
I'm traveling to the Daycare,Daycare
I'm traveling to the Factory,Factory
I'm traveling to the Lab,Lab
I'm traveling to the Radio station,Radio station
I'm traveling to the Television studio,Television studio
I'm traveling to the Office building,Office building
I'm traveling to the Observatory,Observatory
I'm traveling to the Underwater cave,Underwater cave
I'm traveling to the Haunted house,Haunted house
I'm traveling to the Winery,Winery
I'm traveling to the Microbrewery,Microbrewery
I'm traveling to the Planet,Planet
I'm traveling to the Moon,Moon
I'm traveling to the Sun,Sun
I'm traveling to the Jupiter,Jupiter
I'm traveling to the Forest,Forest
I'm traveling to the Cabin,Cabin
I'm traveling to the Rainforest,Rainforest
I'm traveling to the Jungle,Jungle
I'm traveling to the Wetland,Wetland
I'm traveling to the Volcano,Volcano
I'm venturing to the Park,Park
I'm venturing to the Beach,Beach
I'm venturing to the Library,Library
I'm venturing to the Museum,Museum
I'm venturing to the Restaurant,Restaurant
I'm venturing to the Cafe,Cafe
I'm venturing to the Movie theater,Movie theater
I'm venturing to the Shopping mall,Shopping mall
I'm venturing to the Gym,Gym
I'm venturing to the School,School
I'm venturing to the Office,Office
I'm venturing to the Zoo,Zoo
I'm venturing to the Concert hall,Concert hall
I'm venturing to the Art gallery,Art gallery
I'm venturing to the Stadium,Stadium
I'm venturing to the Hospital,Hospital
I'm venturing to the Farm,Farm
I'm venturing to the Farm market,Farm market
I'm venturing to the Amusement park,Amusement park
I'm venturing to the Spa,Spa
I'm venturing to the Mountain,Mountain
I'm venturing to the Lake,Lake
I'm venturing to the River,River
I'm venturing to the Forest,Forest
I'm venturing to the Jungle,Jungle
I'm venturing to the Desert,Desert
I'm venturing to the Countryside,Countryside
I'm venturing to the City,City
I'm venturing to the Suburb,Suburb
I'm venturing to the Village,Village
I'm venturing to the Town,Town
I'm venturing to the Island,Island
I'm venturing to the Skyscraper,Skyscraper
I'm venturing to the Cinema,Cinema
I'm venturing to the Bookstore,Bookstore
I'm venturing to the Factory,Factory
I'm venturing to the Workshop,Workshop
I'm venturing to the Studio,Studio
I'm venturing to the Garden,Garden
I'm venturing to the Orchard,Orchard
I'm venturing to the Vineyard,Vineyard
I'm venturing to the Cemetery,Cemetery
I'm venturing to the Castle,Castle
I'm venturing to the Historical site,Historical site
I'm venturing to the Cave,Cave
I'm venturing to the Lighthouse,Lighthouse
I'm venturing to the Waterfall,Waterfall
I'm venturing to the Cruise ship,Cruise ship
I'm venturing to the Train station,Train station
I'm venturing to the Airport,Airport
I'm venturing to the Space station,Space station
I'm venturing to the Underground,Underground
I'm venturing to the Planetarium,Planetarium
I'm venturing to the Carnival,Carnival
I'm venturing to the Circus,Circus
I'm venturing to the Wildlife sanctuary,Wildlife sanctuary
I'm venturing to the Aquarium,Aquarium
I'm venturing to the Botanical garden,Botanical garden
I'm venturing to the Coffee shop,Coffee shop
I'm venturing to the Tea house,Tea house
I'm venturing to the Ice cream parlor,Ice cream parlor
I'm venturing to the Bakery,Bakery
I'm venturing to the Farmers' market,Farmers' market
I'm venturing to the Campground,Campground
I'm venturing to the Campsite,Campsite
I'm venturing to the Ski resort,Ski resort
I'm venturing to the Beach resort,Beach resort
I'm venturing to the Safari park,Safari park
I'm venturing to the Sculpture park,Sculpture park
I'm venturing to the University,University
I'm venturing to the College,College
I'm venturing to the Kindergarten,Kindergarten
I'm venturing to the Daycare,Daycare
I'm venturing to the Factory,Factory
I'm venturing to the Lab,Lab
I'm venturing to the Radio station,Radio station
I'm venturing to the Television studio,Television studio
I'm venturing to the Office building,Office building
I'm venturing to the Observatory,Observatory
I'm venturing to the Underwater cave,Underwater cave
I'm venturing to the Haunted house,Haunted house
I'm venturing to the Winery,Winery
I'm venturing to the Microbrewery,Microbrewery
I'm venturing to the Planet,Planet
I'm venturing to the Moon,Moon
I'm venturing to the Sun,Sun
I'm venturing to the Jupiter,Jupiter
I'm venturing to the Forest,Forest
I'm venturing to the Cabin,Cabin
I'm venturing to the Rainforest,Rainforest
I'm venturing to the Jungle,Jungle
I'm venturing to the Wetland,Wetland
I'm venturing to the Volcano,Volcano
I'm strolling to the Park,Park
I'm strolling to the Beach,Beach
I'm strolling to the Library,Library
